Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
5....4.....86......9...2.....6.....99.2.8..75.....54.12..569...4..7....28....1.57,27,39,15,1,0,0,0,0,0,Intermediate,
3...9............5.9.5..12.1...57.345.2.........96.......1763........6.9..1...75.,25,38,18,1,0,0,0,0,0,Intermediate,
..2...5....3.16....7.....18...9....1...6....2....3297.......15.2.5....3....17.2.9,25,35,21,1,0,0,0,0,0,Intermediate,
27.....41.1..4...3..86..75....5..3......8.1..34.2.6..8...832............1.....5..,25,44,12,4,0,0,0,0,0,Intermediate,
.9......5...7...6.....5.21.214.69...7.92.1..36..........2.....9......5..4..1.....,23,39,19,1,0,0,0,0,0,Intermediate,
2.....7.5.5..4..2.........17................2.25.7.189.9...8..74.8..92...62.574..,27,40,14,2,0,0,0,0,0,Intermediate,
....2...1......5...1.....96.6.9...3..5..3...21..6..........76...76..1.8.2...8..53,24,36,21,1,0,0,0,0,0,Intermediate,
75..1........3.......4678..1..8..4....5...69.9....3..734..5..6..9.........6...7..,24,39,18,1,0,3,0,0,0,Intermediate,
.......7..1..3485.98.5...3.....182.4...........8.42..325................3...51.4.,24,29,28,1,0,1,0,0,0,Intermediate,
.71......5...29..8...765...........1.17..89.3.93...75...6...5......87....8.65....,26,49,6,1,0,0,0,0,0,Intermediate,
.1......4....7.68..4.59.....89...7......2.4...51..6...........656...4..77.2...8.5,25,38,18,2,0,1,0,0,0,Intermediate,
259.......3..5..844...61..38.431.6....2.4....6......45..59...2.....2...6.........,26,38,17,1,0,0,0,0,0,Intermediate,
......1..5.34....268.....3........6.2...68...7.4.2.5..87.......1......73.26....81,25,45,11,0,1,0,0,0,0,Intermediate,
....7...2.5......6..6.2.....2.3..4.167................91..456....3.172.4..2..69..,25,39,17,1,0,0,0,0,0,Intermediate,
.35...1.779.............2...2.4......57.9....4..1.......3.87.9...95.148..8......2,25,46,10,2,0,1,0,0,0,Intermediate,
.15......9....2...32.6....8...89.64.....24..5...3...2...6...5.1..3..8...584......,25,45,11,1,0,0,0,0,0,Intermediate,
74.....9..297......86......57...6....64.925....2..7.68.9...4...........1...15....,25,43,13,1,0,0,0,0,0,Intermediate,
...67.49.47...............1.......7....26...93.....256...4...2.79...36..14...9..3,25,42,14,3,0,1,0,0,0,Intermediate,
......1..2..169.....8...............93..2....162.4.9.......83.4..5..36....95...1.,23,44,14,2,0,0,2,0,0,Intermediate,
.............24....67...2.....2.1.....9.47.....5.....363..1.9.79.15..4..5.2.9...6,25,46,10,1,0,4,0,0,0,Intermediate,
..........63..4.12...2.....6.73..2....4..16.5.2....9.....9.....7..1.3..4..9...57.,24,47,10,6,0,1,0,0,0,Intermediate,
6...321....7.8....4...7.6....1..7....3.9.6....96.23............3......78..9...3..,23,38,20,2,1,1,2,0,0,Intermediate,
.274.5.1....91...298...7........4..86...2......41.....4....9..5......9.71...7....,24,45,12,0,1,3,0,0,0,Intermediate,
........8..41.6...2.5.84...95.7.1.626..5....4.41..9.8.186.....9.9...5............,27,43,11,2,0,0,0,0,0,Intermediate,
36..24..7....6..........9..6........254.....3...1..6..1...35.96..567...4.....12..,25,45,11,0,0,1,0,0,0,Intermediate,
.26....8...92.3..5..4.5.6.....4.2...........2..2.8.36..63...5......3547.7..8.....,26,27,28,0,0,1,0,0,0,Intermediate,
.8....6.....3.7....1...2...4...6..1.2.14..8..8...9.3.6....16.9...9.73..........8.,24,41,16,0,0,2,0,0,0,Intermediate,
......69575..16..4.4.......6..4..8..87...54.1..5.2.......7..98....6.41.2........6,27,39,15,0,0,2,0,0,0,Intermediate,
.5.1....8.4...35..3.....9....53....6.8.6.2.5.6...948.3..8..9......41.....1..5....,26,34,21,1,0,0,0,0,0,Intermediate,
...9.6.8..1.8.2....2....9.....5...9.3...7..6...5.8..725.1...82..8....3..2.91.....,26,40,15,1,0,0,0,0,0,Intermediate,
.....54.9....2.76.1....8....9.......5.....91...61.....6.8...54...56......7...4.2.,23,41,17,2,0,2,0,0,0,Intermediate,
..3..4....458...97......5.....4.6.2.89..7.......2.9......5.....3..942..8..8.37.54,27,34,20,2,0,0,0,0,0,Intermediate,
...834.76........93....6.8.5.37......2........7.4.8.2........9..46..2...2..367...,25,32,24,1,0,0,0,0,0,Intermediate,
...46....43....2..5..328.1.3..2..9.1..6...58......1..2...........8.1.....2..59...,24,44,13,1,0,0,0,0,0,Intermediate,
..........5.....2..2378....91...2.433...7.9..7...1.2........8..47.....9......4.5.,23,35,23,0,0,5,0,0,0,Intermediate,
4.5.....8.2...............9..2..4....38.26..4.4.3872.....89...35.......6.7....49.,25,43,13,0,0,1,0,0,0,Intermediate,
.4..512.........7......85....73....482....3.5.3....12.7...3...9.81.25.........4..,25,40,16,2,0,1,0,0,0,Intermediate,
.5.....1............9..24..12..5....7..81....9.....6..8......5......6.72.621..9..,22,35,24,1,0,0,0,0,0,Intermediate,
72...1..........5.95...4....8..374....3...8.2...8....7..4....2.....72.94.9....3..,24,39,18,1,0,4,0,0,0,Intermediate,
.57..1.8.....9..736..7.5.......87645...9....7......1..9..3..8.....5...64..4.68...,27,41,13,5,0,0,0,0,0,Intermediate,
........6....237..47.6.81......3...4...479..1..8..6.......6.98......43.7.2.9.....,25,42,14,1,0,0,0,0,0,Intermediate,
..96.2....7............946....8....6......5.926...5.3.6....329...7.......3.75...8,24,36,21,2,0,0,0,0,0,Intermediate,
...2...........5.41......9.54.1.9..86.........82...1..89.52..4.41..3.65......1...,25,52,4,1,1,0,0,0,0,Intermediate,
..64....9.1.97.8.4.....5..698........57..4........81...7..39..5..1......8.....6..,24,35,22,1,0,0,0,0,0,Intermediate,
.2..58.3....743.25....2.1....1.....4..2..5.7.....82.......6....45..3.86........41,26,43,12,3,0,0,0,0,0,Intermediate,
..36.95.8...4..23.....8.....9.3...8.4.....91.........61.......9....2....2..895..3,24,52,5,1,0,0,0,0,0,Intermediate,
5..3.1..9...6.7..8....4........7..1......5..3.7.1.84..1.5..483...7....5.....3..9.,25,31,25,1,0,0,0,0,0,Intermediate,
..8.79....2...3..9....2...546.....3..7...6.....5.3..28....958..2...8......4.....7,24,45,12,1,2,1,0,0,0,Intermediate,
2..3.1.54.......37...549...4.2.......1....36......3...6..2.......31..67...4..5..2,25,33,23,3,1,3,1,0,0,Intermediate,
2....4....9.3..1..3.16974...7...........29.1......86....2......7.4..3..8.3.....42,25,47,9,1,0,0,0,0,0,Intermediate,
.2.9...6...8.1....16.72.8.9.7......4...2.5.8.......1....5.4.....178...9.8.......6,25,38,18,3,1,3,0,0,0,Intermediate,
...1..4.27....8.15....4....1.......88.........4..2.7....1....5...8....9723.987..4,25,51,5,1,0,1,0,0,0,Intermediate,
.12..9.458....2..........1.6.....92..84...7.1.5.2.....4.1..7.69.....5...9.......4,25,42,14,1,0,0,0,0,0,Intermediate,
4...9...5.6.7.1....8...6..9.7..48...2..9...........49....674...62.1....8......1.7,25,37,19,0,0,2,0,0,0,Intermediate,
...5.....75.....9.3....6...5.6..7.8...28..9.....925....8.29.7...3...8.5....7....1,25,33,23,1,0,0,0,0,0,Intermediate,
.....295..9.4...1.74......26.5..1...21...4..7................95..3.9......1.3.4..,23,31,27,1,0,0,0,0,0,Intermediate,
7.8..9..2.9.......5.4..7...21..4..8..85.....1..9........7.1....1539..4......853..,26,33,22,2,0,0,0,0,0,Intermediate,
42...........2....6......5.7..2...9...68.92..28.4.5.6..6.5....1.1....98.....1.74.,26,36,19,3,1,0,0,0,0,Intermediate,
4......83..........29..8.54.5......23.1..98...64........64.2..5...9...31..56.3...,26,43,12,2,0,0,0,0,0,Intermediate,
8.3.......528...3.4.....5........4..945......1..7...2........79...5..31....3.725.,24,48,9,1,0,0,0,0,0,Intermediate,
.3....96....7.....5..9..3....3.1.6.4...87.....16..5.7..6.......89.3.4.1...1.8...3,26,40,15,2,0,0,0,0,0,Intermediate,
.4......9.9..3.87.6....1.......43....3.7...6.8..........32.....9...146.8..8.7.1.4,25,33,23,1,1,3,1,0,0,Intermediate,
........5....832.43..24.7..6......1......1..85.4.....6...6..853...3....7.8.7...6.,25,41,15,1,0,0,0,0,0,Intermediate,
