,Puzzle,Difficulty
204,..348.9......27....18..6.741.........84.1...7.6.3.2........4...72..6......6179...,Intermediate
205,3..1.86..8.......7....75..8..5..91.6.948.........4.9..4...3..51...........3.5....,Intermediate
208,7...8...2..1...85.9.2...71.6.385.2.....6......5..3.1..2..........61........5.7..3,Intermediate
210,4..857..31...4.....6.2......8..76.4.534....61.................83...6...5.7.52....,Intermediate
212,..4....1..1...7......43..8.87..5934.1..6..7...6.7.85........679.9..........3.....,Intermediate
213,......5.6.6.7....3735..4..19.34.5...6.19.8..........85.478.6...8........5....1...,Intermediate
214,.6...89.5..85...647.93.......4...2.......9.......7.4.8....8.5.9......72.....36...,Intermediate
216,..4.....86...42...85.3.7.........6.9.4...3.273.............9.4....26.89.....8.5..,Intermediate
218,5....4.....86......9...2.....6.....99.2.8..75.....54.12..569...4..7....28....1.57,Intermediate
219,3...9............5.9.5..12.1...57.345.2.........96.......1763........6.9..1...75.,Intermediate
221,27.....41.1..4...3..86..75....5..3......8.1..34.2.6..8...832............1.....5..,Intermediate
222,.9......5...7...6.....5.21.214.69...7.92.1..36..........2.....9......5..4..1.....,Intermediate
227,.71......5...29..8...765...........1.17..89.3.93...75...6...5......87....8.65....,Intermediate
231,....7...2.5......6..6.2.....2.3..4.167................91..456....3.172.4..2..69..,Intermediate
233,.15......9....2...32.6....8...89.64.....24..5...3...2...6...5.1..3..8...584......,Intermediate
234,74.....9..297......86......57...6....64.925....2..7.68.9...4...........1...15....,Intermediate
241,........8..41.6...2.5.84...95.7.1.626..5....4.41..9.8.186.....9.9...5............,Intermediate
246,.5.1....8.4...35..3.....9....53....6.8.6.2.5.6...948.3..8..9......41.....1..5....,Intermediate
250,...834.76........93....6.8.5.37......2........7.4.8.2........9..46..2...2..367...,Intermediate
255,.5.....1............9..24..12..5....7..81....9.....6..8......5......6.72.621..9..,Intermediate
257,.57..1.8.....9..736..7.5.......87645...9....7......1..9..3..8.....5...64..4.68...,Intermediate
258,........6....237..47.6.81......3...4...479..1..8..6.......6.98......43.7.2.9.....,Intermediate
259,..96.2....7............946....8....6......5.926...5.3.6....329...7.......3.75...8,Intermediate
261,..64....9.1.97.8.4.....5..698........57..4........81...7..39..5..1......8.....6..,Intermediate
262,.2..58.3....743.25....2.1....1.....4..2..5.7.....82.......6....45..3.86........41,Intermediate
263,..36.95.8...4..23.....8.....9.3...8.4.....91.........61.......9....2....2..895..3,Intermediate
264,5..3.1..9...6.7..8....4........7..1......5..3.7.1.84..1.5..483...7....5.....3..9.,Intermediate
270,.12..9.458....2..........1.6.....92..84...7.1.5.2.....4.1..7.69.....5...9.......4,Intermediate
273,.....295..9.4...1.74......26.5..1...21...4..7................95..3.9......1.3.4..,Intermediate
276,4......83..........29..8.54.5......23.1..98...64........64.2..5...9...31..56.3...,Intermediate
277,8.3.......528...3.4.....5........4..945......1..7...2........79...5..31....3.725.,Intermediate
278,.3....96....7.....5..9..3....3.1.6.4...87.....16..5.7..6.......89.3.4.1...1.8...3,Intermediate
