Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..5..62..7...5.....6...3.4...1......9.......4472.......5..6.91..4751...3..3..7.5.,26,50,5,0,0,0,0,0,0,Easy,
..9...534.1.2....7.......6.1..........4...6...3.74...132....4...........496.71..3,24,34,23,0,0,0,0,0,0,Easy,
4917......2....7....78.1.....35............7....3.89.4.7.9.21......83....52..4.8.,26,36,19,0,0,0,0,0,0,Easy,
.7.2..9..9......48.2..41.5...6......8..7.......2....9..8...6.15.6.4.......1.5...7,24,40,17,0,0,0,0,0,0,Easy,
.64.278...2.......8.7..4...283.....4..9........57.8.........43.94..85.67....9...8,27,41,13,0,0,0,0,0,0,Easy,
...6.5...4..8.7..553..146..31.4....7.9....8..6.73..4.9...1...............5..7..1.,26,51,4,0,0,0,0,0,0,Easy,
4.3..9.78.....8.....9....3.5...246..6.89...2.3....758.....4...7......2....52.....,25,40,16,0,0,0,0,0,0,Easy,
4.2.9..388...1.4.77.....9..........1.593....41.87..2.........52..........7...8.1.,25,39,17,0,0,0,0,0,0,Easy,
...7..2.41.........75.....6.14......6.2.....5.8.19.......8..9......5...27982.....,23,54,4,0,0,0,0,0,0,Easy,
.......5..79.12...1..59.....41235...2..46........7.....6...43.9..2......3..15..4.,26,54,1,0,0,0,0,0,0,Easy,
7.8..4..94...9.2.1.....86......21..48.........1........7....1.6..6.....5..591.7..,24,35,22,0,0,0,0,0,0,Easy,
.9..5..21......4....841.53.3..2.9.........2....4....13.....3.4......6.58...94....,24,40,17,0,0,0,0,0,0,Easy,
..6.9..3...75.3..6....1.92....3.......1......73.82.5..........3269......5..1..7..,24,41,16,0,0,0,0,0,0,Easy,
6...59..2.....7..8......51....31..8....5.63..5...2....9.......3..5.621.....8...56,25,52,4,0,0,0,0,0,0,Easy,
793.1.46.8....47.3..6.9..........5...579.6.3..3.........94........5...4.46.7...5.,27,38,16,0,0,0,0,0,0,Easy,
8.2.16..3..9.5.....6.43..194.......1...8......9.....241.......6....634..........8,24,33,24,0,0,0,0,0,0,Easy,
.8237519....2.9..31...6.2....6....1........8.91...2....2..9...7..3...5..6.7......,26,48,7,0,0,0,0,0,0,Easy,
.1.2.........65....2.183..5............7.18..23.5.8.7..8.9...575....2..11....6..8,27,41,13,0,0,0,0,0,0,Easy,
3...624...54...9..9...1..3.......34..26...7..........1.....1....453...29.9..4.15.,26,44,11,0,0,0,0,0,0,Easy,
..7..2...694.8...2....9..64...8..9...1.9....7..9.4.....5......6.7..2.819.8.......,25,34,22,0,0,0,0,0,0,Easy,
..3.5...487.......4....9.....8.6325.......8....459..6...5........7....23.9...2...,23,52,6,0,0,0,0,0,0,Easy,
.7...9..2..64...........43....5....1.....2.47..1...6..1....7.93.35.21...6...9....,24,30,27,0,0,0,0,0,0,Easy,
...58....5...63..9.....78....5.9..78....1.62....7..........93..36.8..2...912....6,26,49,6,0,0,0,0,0,0,Easy,
27..145.....5....24....3.......38..1.459...83..3....7....45....8..2..............,23,39,19,0,0,0,0,0,0,Easy,
.62....4.3.8.2....9..3..6....315.9...5....4..1....4...2..68........39.5..1.......,24,40,17,0,0,0,0,0,0,Easy,
2..6...3..54....7.9......4......5..7......4...7...8.29..9.54.82528..9........3...,25,41,15,0,0,0,0,0,0,Easy,
..964....4.6.3...............1.736.97..2...18...8.........8...1.6.41..82.149.....,26,37,18,0,0,0,0,0,0,Easy,
2.4..69..8..1...7.17..42.....2..4........8..7....2.436.69....4.......1.3........2,25,50,6,0,0,0,0,0,0,Easy,
.....3..4.69...15.......6.35...29...9.........32.4...8.86.3.51..1....4.6.....4...,25,43,13,0,0,0,0,0,0,Easy,
