Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.8...2.....7.5.....9..4..3..754..3....1.93....4....1.......8....32......15...928.,24,57,0,0,0,0,0,0,0,Simple,
3.......79......6..75.6.1........2.6537........91...4..1.4..92.2..........37....5,24,57,0,0,0,0,0,0,0,Simple,
91..7.2...2.4...3.4.75..1.8...8..4.7.............1..93...1.28.5.......4...8..59.1,27,54,0,0,0,0,0,0,0,Simple,
..5.....27683..1........867......92........75......3.18.7.59...2..71...8.9...3...,26,55,0,0,0,0,0,0,0,Simple,
..7......6....3.....9...5761..2....952....6.1..61...8..3.......2.8......7...6583.,25,56,0,0,0,0,0,0,0,Simple,
......6.9...7.2....8.4.6.1.49...7.681.58..9......4.7........52.....81..4...27....,26,55,0,0,0,0,0,0,0,Simple,
.42...3.....4.2.....631......5....7....165...36...9.......3.2.41.9....35..7...9..,25,56,0,0,0,0,0,0,0,Simple,
5...9.....8.2.........6.78.4.8..2....7...1.2..1.579...967...5...2.8......41......,25,56,0,0,0,0,0,0,0,Simple,
49..7.........6.1..7....8..38...2.616.7..4.....2...9...63.....91.....73.......186,26,55,0,0,0,0,0,0,0,Simple,
.........4.....675..8....918.54....3.16.584..3..9.1.....3..7...1......64.7....1.8,27,54,0,0,0,0,0,0,0,Simple,
3...64...5...21..91.47.3...6.3...7...2.....6....95........3.........7...47..1.5..,24,57,0,0,0,0,0,0,0,Simple,
9.1.7...58..1....3.4.6.5.....7.6...........7.1.....9....439.7...9.8..6..53..4....,25,56,0,0,0,0,0,0,0,Simple,
......9......89.1.....3....51.4..86.7...6...9..9..147...1.4..5.........33..8.674.,26,55,0,0,0,0,0,0,0,Simple,
.8.67.......3.........8......6.2..9...71..43.83..4...2.7..9...16...1.9782......6.,26,55,0,0,0,0,0,0,0,Simple,
..39...2.........6.......813....4.187..26...9..9.8.2..641....3......7...8.....4.2,25,56,0,0,0,0,0,0,0,Simple,
.35..2.............2.61.9....2.5........8.1..6..2.3.9....3.5...4.1..9.5...8.4..6.,24,57,0,0,0,0,0,0,0,Simple,
....7.4.5..3..4.2........9.....93.56.....53.4...86...7.752.9...9..648............,25,56,0,0,0,0,0,0,0,Simple,
1...4.6.3...79.2......6.597..5..6.....3.1........2.....97.....1.5.2..3....4.7...5,25,56,0,0,0,0,0,0,0,Simple,
.......48..3...........9.....8.2...1....4..921.5....6..52..8..3....6.1..3.6.95...,23,58,0,0,0,0,0,0,0,Simple,
....9.7.........2......759...4...1...9...8..72.7.1..8.1.2..6....4.1.52..9.6.8...4,26,55,0,0,0,0,0,0,0,Simple,
5.....3........8..........7..8..94.3.417..98.........6..4.1.7...978.6..51..3.46..,26,55,0,0,0,0,0,0,0,Simple,
.3452..87...714..3....389...8.....352.9.43.1.....5.2............9...7....2......4,27,54,0,0,0,0,0,0,0,Simple,
...825.7...87...5........1.4.315..27.81.....47.9..........71.......39...9.4...2..,26,55,0,0,0,0,0,0,0,Simple,
..6..5.3....1....58....76....536...8.318....2.4..527....3........2...1...7.......,24,57,0,0,0,0,0,0,0,Simple,
..1.......2...38...........19.4......6...2..4..3978..6.1..672..4.7.8.3.....3.971.,27,54,0,0,0,0,0,0,0,Simple,
..4.8......6..............3.7..3...86....421...2...3......7245.3.74..16......6...,23,58,0,0,0,0,0,0,0,Simple,
2..98.15....43.....3..6...9.56..2.4...8....62....9...14.1.....8.........92.1.....,25,56,0,0,0,0,0,0,0,Simple,
..58...948...7.2...26.34.......8........4..7......9...7.......8.642..3..59..63.2.,26,55,0,0,0,0,0,0,0,Simple,
..6..43.....9...5.3..85...65.8..764..94.268....2..5.7.2.....5......7......7......,26,55,0,0,0,0,0,0,0,Simple,
.364..8.....5...928....9.6....85.....4...............9.5.38...461..2.9.82...4..1.,26,55,0,0,0,0,0,0,0,Simple,
4.6.......3....5...973..2...19.5.........1........7.....3.729..5...49..1..46..7.5,25,56,0,0,0,0,0,0,0,Simple,
17.....5.2541....88.....4....5......4..3.......2..9........49.5...5.3.....782..1.,24,57,0,0,0,0,0,0,0,Simple,
.......7....4...6.4........6...9..1..8...6...2..74...91.6..4..8..26.87..75.21..9.,26,55,0,0,0,0,0,0,0,Simple,
........73..94.......32...66....4.8.9.871..2...4..2..3.1..6....842...9..7...8....,26,55,0,0,0,0,0,0,0,Simple,
8..1.4.5...7..814.5.....62....7.54......4....3.........8..1.2.6.5...6..36....3.7.,26,55,0,0,0,0,0,0,0,Simple,
.562..4.13.1....2...........721.635.......1....8.....6.1.3...4......427.63.......,25,56,0,0,0,0,0,0,0,Simple,
7.........5..367..8..5...3....1....45........1......9.4.6..1.89...8...469.84..37.,26,55,0,0,0,0,0,0,0,Simple,
2.9.67.14.648.9.7.15..........4.....9..6.1..5.......8.81.........6....41..5...896,28,53,0,0,0,0,0,0,0,Simple,
..4.9.5.....81....85.6...3....3.....5.3428.........1.....14...8..95..6........92.,24,57,0,0,0,0,0,0,0,Simple,
.1..7943..7543.6.2.9.2.6..5.54..29.1..6......92.3........1.57...............9....,28,53,0,0,0,0,0,0,0,Simple,
.....2915.....4....519..37..........8..2.5...5....38.9..........3..187.....4.7.52,25,56,0,0,0,0,0,0,0,Simple,
4.5...1....617.....31..6.8..4.8.5.....34.7.6.2..31.....1......47...5....3.8......,26,55,0,0,0,0,0,0,0,Simple,
4.9.6.....2.3.5.....6..9....6285....3......8..51..2..39..2......4.1..9.........42,25,56,0,0,0,0,0,0,0,Simple,
69..8721.2.1...8.58...6.93..8..3.....6..981..9....2.......19......32.....5....3..,28,53,0,0,0,0,0,0,0,Simple,
...3..8......74.31...859....9..1..8....9.8.2.2..5..1.91..7.32.5....253......8.7..,29,52,0,0,0,0,0,0,0,Simple,
.84...7..6.9.2.5......4....5.7....3..234........96....836.5.9....573.......8.9...,26,55,0,0,0,0,0,0,0,Simple,
7.14....6...6...899.2...71.....75........8...65.1.........5..2....94..7....7.6.9.,25,56,0,0,0,0,0,0,0,Simple,
....5..9.43.8.9.6.2..4........2.6.....7.....6.......85...6..8.97...2......69..432,25,56,0,0,0,0,0,0,0,Simple,
..2.73..4..3.698.....8....7..9...45.24..3.....36....2.6.4......8.5..........2.9..,25,56,0,0,0,0,0,0,0,Simple,
9......3...1....5.36......9.4....9.....96.8.2.1.34...5.......98..5..6...28.1..6..,25,56,0,0,0,0,0,0,0,Simple,
9.6...5......4...7..5...9147.....6.5594........1....8..3...5..61.....4..4.8.6..3.,26,55,0,0,0,0,0,0,0,Simple,
....8.5.....9.2.4..8...12......6.....953.48.2.64..9..3.....8.....94.31.5...2...9.,27,54,0,0,0,0,0,0,0,Simple,
.87.....5...............9..5..49...3..41.6.......3.8....68....4..1.4..577..9.3..1,24,57,0,0,0,0,0,0,0,Simple,
......9...3..4..5.2.5....6....58.69.85.4...3.6.913.4..........1328......4.6......,26,55,0,0,0,0,0,0,0,Simple,
..5.......6431..2.713...46........35...47.2.........1.3.6.4..795..9....2......3..,26,55,0,0,0,0,0,0,0,Simple,
.1...479....5..2.8...97.56.568.......4.81....7...4...24.............86..9..2.....,25,56,0,0,0,0,0,0,0,Simple,
